2025-07-10 15:42:45 | logger | INFO | get_logger:150 | Logger initialized for module: logger
2025-07-10 15:43:10 | ExcelDataLoader | WARNING | _check_required_columns:175 | Missing columns detected: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | ExcelDataLoader | WARNING | _check_data_quality:206 | Found 329 duplicate records
2025-07-10 15:43:10 | ExcelDataLoader | ERROR | _validate_data:151 | Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | ExcelDataLoader | ERROR | load_from_file:66 | Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | data.loader | ERROR | wrapper:282 | Function load_from_file failed after 3.914 seconds with error: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:43:10 | __main__ | ERROR | _load_data:121 | Error loading data: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Data validation failed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: Missing required columns: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 15:46:15 | logger | INFO | get_logger:150 | Logger initialized for module: logger
2025-07-10 15:46:15 | logger | INFO | <module>:293 | Logging system initialized successfully
2025-07-10 15:46:15 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 15:46:15 | __main__ | INFO | __init__:28 | Initializing Excel Dashboard Application
2025-07-10 15:46:15 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 15:46:15 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 15:46:15 | __main__ | INFO | run:206 | Starting Excel Dashboard Application
2025-07-10 15:46:19 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 15:46:19 | __main__ | INFO | __init__:28 | Initializing Excel Dashboard Application
2025-07-10 15:46:19 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 15:46:19 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 15:46:19 | __main__ | INFO | run:206 | Starting Excel Dashboard Application
2025-07-10 15:46:19 | __main__ | INFO | _load_data:88 | Starting data loading process
2025-07-10 15:46:19 | ExcelDataLoader | INFO | get_logger:150 | Logger initialized for module: ExcelDataLoader
2025-07-10 15:46:19 | ExcelDataLoader | INFO | __init__:24 | ExcelDataLoader initialized
2025-07-10 15:46:19 | data.loader | INFO | get_logger:150 | Logger initialized for module: data.loader
2025-07-10 15:46:19 | ExcelDataLoader | INFO | load_from_file:51 | Loading Excel file: assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 15:46:20 | ExcelDataLoader | ERROR | _find_header_row:363 | Error finding header row: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:46:20 | ExcelDataLoader | INFO | load_from_file:55 | Found headers at row: 0
2025-07-10 15:46:21 | ExcelDataLoader | INFO | load_from_file:60 | Successfully loaded Excel file with shape: (3948, 11)
2025-07-10 15:46:21 | ExcelDataLoader | ERROR | load_from_file:73 | Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:46:21 | data.loader | ERROR | wrapper:282 | Function load_from_file failed after 1.836 seconds with error: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:46:21 | __main__ | ERROR | _load_data:121 | Error loading data: Error loading Excel file assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx: 'ExcelDataLoader' object has no attribute '_is_similar_column'
2025-07-10 15:47:40 | logger | INFO | get_logger:150 | Logger initialized for module: logger
2025-07-10 15:47:40 | logger | INFO | <module>:293 | Logging system initialized successfully
2025-07-10 16:24:09 | logger | INFO | get_logger:150 | Logger initialized for module: logger
2025-07-10 16:24:09 | logger | INFO | <module>:293 | Logging system initialized successfully
2025-07-10 16:24:10 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:24:10 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:24:10 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:24:10 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:24:10 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:24:39 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:24:39 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:24:39 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:24:39 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:24:39 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:24:39 | __main__ | INFO | _load_data:97 | Starting data loading process
2025-07-10 16:24:39 | ExcelDataLoader | INFO | get_logger:150 | Logger initialized for module: ExcelDataLoader
2025-07-10 16:24:39 | ExcelDataLoader | INFO | __init__:25 | ExcelDataLoader initialized
2025-07-10 16:24:39 | data.loader | INFO | get_logger:150 | Logger initialized for module: data.loader
2025-07-10 16:24:39 | ExcelDataLoader | INFO | load_from_file:52 | Loading Excel file: assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 16:24:40 | ExcelDataLoader | INFO | _find_header_row:214 | Found header row at index 5 with 100.0% match
2025-07-10 16:24:40 | ExcelDataLoader | INFO | load_from_file:56 | Found headers at row: 5
2025-07-10 16:24:41 | ExcelDataLoader | INFO | load_from_file:61 | Successfully loaded Excel file with shape: (3943, 11)
2025-07-10 16:24:41 | ExcelDataLoader | INFO | _check_required_columns:341 | Found column mappings: ['Meeting Subject -> Meeting Subject', 'Organizer -> Organizer', 'Attendees -> Attendees', 'Email Subject -> Meeting Subject', 'Mail Sender -> Mail Sender', 'Mail Receiver -> Mail Sender', 'Email Body Content -> Email Body Content', 'Direction -> Direction', 'Email Time (BST/GMT) -> Email Time (BST/GMT)', 'Meeting Time (BST/GMT) -> Email Time (BST/GMT)', 'Time Delta (hrs) -> Time Delta (hrs)']
2025-07-10 16:24:41 | ExcelDataLoader | WARNING | _check_data_quality:377 | Found 329 duplicate records
2025-07-10 16:24:41 | ExcelDataLoader | WARNING | _validate_email_format:409 | Found 3943 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-10 16:24:41 | ExcelDataLoader | WARNING | _validate_email_format:409 | Found 3943 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-10 16:24:41 | ExcelDataLoader | INFO | _validate_data:172 | Data validation passed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 16:24:41 | data.loader | INFO | wrapper:276 | Function load_from_file executed in 2.095 seconds
2025-07-10 16:24:41 | __main__ | INFO | _load_data:116 | Data loaded from file: assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 16:24:41 | DataProcessor | INFO | get_logger:150 | Logger initialized for module: DataProcessor
2025-07-10 16:24:41 | DataProcessor | INFO | __init__:24 | DataProcessor initialized
2025-07-10 16:24:41 | data.processor | INFO | get_logger:150 | Logger initialized for module: data.processor
2025-07-10 16:24:41 | DataProcessor | INFO | _clean_column_names:99 | Column name cleaning completed. Renamed 11 columns
2025-07-10 16:24:41 | DataProcessor | INFO | _parse_datetime_column:168 | Successfully parsed Email Time (BST/GMT) with format %Y-%m-%d %H:%M:%S (100.00% success)
2025-07-10 16:24:41 | DataProcessor | INFO | _parse_datetime_column:168 | Successfully parsed Meeting Time (BST/GMT) with format %Y-%m-%d %H:%M:%S (100.00% success)
2025-07-10 16:24:41 | DataProcessor | INFO | _recalculate_time_delta:213 | Time delta statistics - Min: -47.97 hrs, Max: 225.47 hrs, Mean: 6.03 hrs
2025-07-10 16:24:41 | DataProcessor | INFO | _process_datetime_columns:143 | Datetime processing completed
2025-07-10 16:24:41 | DataProcessor | INFO | _clean_text_columns:244 | Text cleaning completed
2025-07-10 16:24:42 | DataProcessor | INFO | _extract_features:297 | Feature extraction completed
2025-07-10 16:24:42 | DataProcessor | WARNING | _validate_processed_data:467 | Found 77 records with extreme time deltas (>168 hrs)
2025-07-10 16:24:42 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Meeting Subject' null rate: 0.00%
2025-07-10 16:24:42 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Email Subject' null rate: 3.80%
2025-07-10 16:24:42 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Meeting Time (BST/GMT)' null rate: 0.00%
2025-07-10 16:24:42 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Email Time (BST/GMT)' null rate: 0.00%
2025-07-10 16:24:42 | DataProcessor | INFO | _log_data_quality_metrics:496 | Unique meetings: 152 (3.85% of total)
2025-07-10 16:24:42 | DataProcessor | INFO | _log_data_quality_metrics:501 | Unique emails: 1166 (29.57% of total)
2025-07-10 16:24:42 | DataProcessor | INFO | process_data:58 | Data processing completed successfully. Final shape: (3943, 24)
2025-07-10 16:24:42 | data.processor | INFO | wrapper:276 | Function process_data executed in 0.762 seconds
2025-07-10 16:24:42 | __main__ | INFO | _load_data:126 | Data processing completed. Shape: (3943, 24)
2025-07-10 16:24:42 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:24:42 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:24:42 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:24:42 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:24:42 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:24:48 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:24:48 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:24:48 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:24:48 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:24:48 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:24:48 | EngagementReport | INFO | get_logger:150 | Logger initialized for module: EngagementReport
2025-07-10 16:24:48 | EngagementReport | INFO | __init__:34 | Initialized EngagementReport with 3943 records
2025-07-10 16:24:48 | reports.base | INFO | get_logger:150 | Logger initialized for module: reports.base
2025-07-10 16:24:48 | reports.engagement | INFO | get_logger:150 | Logger initialized for module: reports.engagement
2025-07-10 16:24:48 | EngagementReport | INFO | generate_analysis:50 | Found 170 unique meetings
2025-07-10 16:24:48 | EngagementReport | INFO | generate_analysis:105 | Engagement analysis completed: 170/170 meetings have email correspondence (100.0%)
2025-07-10 16:24:48 | reports.engagement | INFO | wrapper:276 | Function generate_analysis executed in 0.053 seconds
2025-07-10 16:24:48 | reports.engagement | INFO | get_logger:150 | Logger initialized for module: reports.engagement
2025-07-10 16:24:48 | EngagementReport | INFO | generate_analysis:50 | Found 170 unique meetings
2025-07-10 16:24:49 | EngagementReport | INFO | generate_analysis:105 | Engagement analysis completed: 170/170 meetings have email correspondence (100.0%)
2025-07-10 16:24:49 | reports.engagement | INFO | wrapper:276 | Function generate_analysis executed in 0.032 seconds
2025-07-10 16:24:52 | EngagementReport | INFO | export_results:253 | Export prepared for engagement_report
2025-07-10 16:24:52 | EngagementReport | INFO | run_report:312 | Report execution completed successfully
2025-07-10 16:24:52 | reports.base | INFO | wrapper:276 | Function run_report executed in 4.007 seconds
2025-07-10 16:26:58 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:26:58 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:26:58 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:26:58 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:26:58 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:27:01 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:27:01 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:27:01 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:27:01 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:27:01 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:27:01 | __main__ | INFO | _load_data:97 | Starting data loading process
2025-07-10 16:27:01 | ExcelDataLoader | INFO | get_logger:150 | Logger initialized for module: ExcelDataLoader
2025-07-10 16:27:01 | ExcelDataLoader | INFO | __init__:25 | ExcelDataLoader initialized
2025-07-10 16:27:01 | data.loader | INFO | get_logger:150 | Logger initialized for module: data.loader
2025-07-10 16:27:01 | ExcelDataLoader | INFO | load_from_file:52 | Loading Excel file: assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 16:27:01 | ExcelDataLoader | INFO | _find_header_row:214 | Found header row at index 5 with 100.0% match
2025-07-10 16:27:01 | ExcelDataLoader | INFO | load_from_file:56 | Found headers at row: 5
2025-07-10 16:27:02 | ExcelDataLoader | INFO | load_from_file:61 | Successfully loaded Excel file with shape: (3943, 11)
2025-07-10 16:27:02 | ExcelDataLoader | INFO | _check_required_columns:341 | Found column mappings: ['Meeting Subject -> Meeting Subject', 'Organizer -> Organizer', 'Attendees -> Attendees', 'Email Subject -> Meeting Subject', 'Mail Sender -> Mail Sender', 'Mail Receiver -> Mail Sender', 'Email Body Content -> Email Body Content', 'Direction -> Direction', 'Email Time (BST/GMT) -> Email Time (BST/GMT)', 'Meeting Time (BST/GMT) -> Email Time (BST/GMT)', 'Time Delta (hrs) -> Time Delta (hrs)']
2025-07-10 16:27:02 | ExcelDataLoader | WARNING | _check_data_quality:377 | Found 329 duplicate records
2025-07-10 16:27:02 | ExcelDataLoader | WARNING | _validate_email_format:409 | Found 3943 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-10 16:27:02 | ExcelDataLoader | WARNING | _validate_email_format:409 | Found 3943 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-10 16:27:02 | ExcelDataLoader | INFO | _validate_data:172 | Data validation passed for assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 16:27:02 | data.loader | INFO | wrapper:276 | Function load_from_file executed in 1.155 seconds
2025-07-10 16:27:02 | __main__ | INFO | _load_data:116 | Data loaded from file: assets\excel\MAILBOX ANALYTICS REPORT - Katie Waugh (kwaugh@bloorresearch.com).xlsx
2025-07-10 16:27:02 | DataProcessor | INFO | get_logger:150 | Logger initialized for module: DataProcessor
2025-07-10 16:27:02 | DataProcessor | INFO | __init__:24 | DataProcessor initialized
2025-07-10 16:27:02 | data.processor | INFO | get_logger:150 | Logger initialized for module: data.processor
2025-07-10 16:27:02 | DataProcessor | INFO | _clean_column_names:99 | Column name cleaning completed. Renamed 11 columns
2025-07-10 16:27:02 | DataProcessor | INFO | _parse_datetime_column:168 | Successfully parsed Email Time (BST/GMT) with format %Y-%m-%d %H:%M:%S (100.00% success)
2025-07-10 16:27:02 | DataProcessor | INFO | _parse_datetime_column:168 | Successfully parsed Meeting Time (BST/GMT) with format %Y-%m-%d %H:%M:%S (100.00% success)
2025-07-10 16:27:02 | DataProcessor | INFO | _recalculate_time_delta:213 | Time delta statistics - Min: -47.97 hrs, Max: 225.47 hrs, Mean: 6.03 hrs
2025-07-10 16:27:02 | DataProcessor | INFO | _process_datetime_columns:143 | Datetime processing completed
2025-07-10 16:27:02 | DataProcessor | INFO | _clean_text_columns:244 | Text cleaning completed
2025-07-10 16:27:03 | DataProcessor | INFO | _extract_features:297 | Feature extraction completed
2025-07-10 16:27:03 | DataProcessor | WARNING | _validate_processed_data:467 | Found 77 records with extreme time deltas (>168 hrs)
2025-07-10 16:27:03 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Meeting Subject' null rate: 0.00%
2025-07-10 16:27:03 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Email Subject' null rate: 3.80%
2025-07-10 16:27:03 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Meeting Time (BST/GMT)' null rate: 0.00%
2025-07-10 16:27:03 | DataProcessor | INFO | _log_data_quality_metrics:491 | Column 'Email Time (BST/GMT)' null rate: 0.00%
2025-07-10 16:27:03 | DataProcessor | INFO | _log_data_quality_metrics:496 | Unique meetings: 152 (3.85% of total)
2025-07-10 16:27:03 | DataProcessor | INFO | _log_data_quality_metrics:501 | Unique emails: 1166 (29.57% of total)
2025-07-10 16:27:03 | DataProcessor | INFO | process_data:58 | Data processing completed successfully. Final shape: (3943, 24)
2025-07-10 16:27:03 | data.processor | INFO | wrapper:276 | Function process_data executed in 0.705 seconds
2025-07-10 16:27:03 | __main__ | INFO | _load_data:126 | Data processing completed. Shape: (3943, 24)
2025-07-10 16:27:03 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:27:03 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:27:03 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:27:03 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:27:03 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:27:05 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:27:05 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:27:05 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:27:05 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:27:05 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:27:05 | EngagementReport | INFO | get_logger:150 | Logger initialized for module: EngagementReport
2025-07-10 16:27:05 | EngagementReport | INFO | __init__:34 | Initialized EngagementReport with 3943 records
2025-07-10 16:27:05 | reports.base | INFO | get_logger:150 | Logger initialized for module: reports.base
2025-07-10 16:27:05 | reports.engagement | INFO | get_logger:150 | Logger initialized for module: reports.engagement
2025-07-10 16:27:05 | EngagementReport | INFO | generate_analysis:50 | Found 170 unique meetings
2025-07-10 16:27:05 | EngagementReport | INFO | generate_analysis:105 | Engagement analysis completed: 170/170 meetings have email correspondence (100.0%)
2025-07-10 16:27:05 | reports.engagement | INFO | wrapper:276 | Function generate_analysis executed in 0.027 seconds
2025-07-10 16:27:05 | reports.engagement | INFO | get_logger:150 | Logger initialized for module: reports.engagement
2025-07-10 16:27:05 | EngagementReport | INFO | generate_analysis:50 | Found 170 unique meetings
2025-07-10 16:27:05 | EngagementReport | INFO | generate_analysis:105 | Engagement analysis completed: 170/170 meetings have email correspondence (100.0%)
2025-07-10 16:27:05 | reports.engagement | INFO | wrapper:276 | Function generate_analysis executed in 0.020 seconds
2025-07-10 16:27:05 | EngagementReport | INFO | export_results:253 | Export prepared for engagement_report
2025-07-10 16:27:05 | EngagementReport | INFO | run_report:312 | Report execution completed successfully
2025-07-10 16:27:05 | reports.base | INFO | wrapper:276 | Function run_report executed in 0.240 seconds
2025-07-10 16:28:17 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:28:17 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:28:17 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:28:17 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:28:17 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:28:17 | ResponsivenessReport | INFO | get_logger:150 | Logger initialized for module: ResponsivenessReport
2025-07-10 16:28:17 | ResponsivenessReport | INFO | __init__:34 | Initialized ResponsivenessReport with 3943 records
2025-07-10 16:28:17 | reports.base | INFO | get_logger:150 | Logger initialized for module: reports.base
2025-07-10 16:28:17 | reports.responsiveness | INFO | get_logger:150 | Logger initialized for module: reports.responsiveness
2025-07-10 16:28:17 | ResponsivenessReport | INFO | _calculate_response_times:113 | Calculated response times for 594 email exchanges
2025-07-10 16:28:17 | ResponsivenessReport | INFO | _calculate_response_statistics:163 | Response statistics calculated: avg 24.0 hrs, median 4.7 hrs
2025-07-10 16:28:17 | ResponsivenessReport | INFO | generate_analysis:72 | Responsiveness analysis completed: 3943 emails analyzed, 594 with calculable response times
2025-07-10 16:28:17 | reports.responsiveness | INFO | wrapper:276 | Function generate_analysis executed in 0.072 seconds
2025-07-10 16:28:17 | reports.responsiveness | INFO | get_logger:150 | Logger initialized for module: reports.responsiveness
2025-07-10 16:28:17 | ResponsivenessReport | INFO | _calculate_response_times:113 | Calculated response times for 594 email exchanges
2025-07-10 16:28:17 | ResponsivenessReport | INFO | _calculate_response_statistics:163 | Response statistics calculated: avg 24.0 hrs, median 4.7 hrs
2025-07-10 16:28:17 | ResponsivenessReport | INFO | generate_analysis:72 | Responsiveness analysis completed: 3943 emails analyzed, 594 with calculable response times
2025-07-10 16:28:17 | reports.responsiveness | INFO | wrapper:276 | Function generate_analysis executed in 0.059 seconds
2025-07-10 16:28:19 | ResponsivenessReport | INFO | export_results:253 | Export prepared for responsiveness_report
2025-07-10 16:28:19 | ResponsivenessReport | INFO | run_report:312 | Report execution completed successfully
2025-07-10 16:28:19 | reports.base | INFO | wrapper:276 | Function run_report executed in 1.679 seconds
2025-07-10 16:30:10 | __main__ | INFO | get_logger:150 | Logger initialized for module: __main__
2025-07-10 16:30:10 | __main__ | INFO | __init__:37 | Initializing Excel Dashboard Application
2025-07-10 16:30:10 | DashboardLayout | INFO | get_logger:150 | Logger initialized for module: DashboardLayout
2025-07-10 16:30:10 | DashboardLayout | INFO | __init__:30 | DashboardLayout initialized
2025-07-10 16:30:10 | __main__ | INFO | run:215 | Starting Excel Dashboard Application
2025-07-10 16:30:10 | ClientMappingReport | INFO | get_logger:150 | Logger initialized for module: ClientMappingReport
2025-07-10 16:30:10 | ClientMappingReport | INFO | __init__:34 | Initialized ClientMappingReport with 3943 records
2025-07-10 16:30:10 | reports.base | INFO | get_logger:150 | Logger initialized for module: reports.base
2025-07-10 16:30:10 | reports.client_mapping | INFO | get_logger:150 | Logger initialized for module: reports.client_mapping
2025-07-10 16:30:10 | ClientMappingReport | INFO | _extract_client_domains:102 | Extracted domains for 3943 records, 72 unique client domains
2025-07-10 16:30:10 | ClientMappingReport | INFO | _create_communication_matrix:206 | Created communication matrix with 72 client domains
2025-07-10 16:30:11 | ClientMappingReport | INFO | _analyze_engagement_gaps:279 | Engagement gap analysis completed: 0 clients with meeting/email gaps
2025-07-10 16:30:11 | ClientMappingReport | INFO | generate_analysis:74 | Client mapping analysis completed: 72 unique client domains identified
2025-07-10 16:30:11 | reports.client_mapping | INFO | wrapper:276 | Function generate_analysis executed in 0.287 seconds
2025-07-10 16:30:11 | reports.client_mapping | INFO | get_logger:150 | Logger initialized for module: reports.client_mapping
2025-07-10 16:30:11 | ClientMappingReport | INFO | _extract_client_domains:102 | Extracted domains for 3943 records, 72 unique client domains
