2025-07-10 15:43:10 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:175 | _check_required_columns | Missing columns detected: ['Meeting Subject', 'Organizer', 'Attendees', 'Email Subject', 'Mail Sender', 'Mail Receiver', 'Email Body Content', 'Direction', 'Email Time (BST/GMT)', 'Meeting Time (BST/GMT)', 'Time Delta (hrs)']
2025-07-10 16:24:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 3943 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-10 16:24:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 3943 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-10 16:24:42 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 77 records with extreme time deltas (>168 hrs)
2025-07-10 16:27:02 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 329 duplicate records
2025-07-10 16:27:02 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 3943 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-10 16:27:02 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 3943 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-10 16:27:03 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 77 records with extreme time deltas (>168 hrs)
2025-07-15 11:36:22 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-15 11:36:23 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-15 11:36:23 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-15 11:36:24 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-16 11:20:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-16 11:20:42 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-16 11:20:42 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-16 11:20:43 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-16 11:21:31 | DashboardLayout | ERROR | C:\projects Krithi\excel-dashboard\dashboard\layout.py:402 | _render_report_page | Error running report Report 4: ContentQualityReport.__init__() missing 1 required positional argument: 'config'
2025-07-16 11:21:32 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-16 11:21:32 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-16 11:21:32 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-16 11:21:34 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-16 11:21:44 | DashboardLayout | ERROR | C:\projects Krithi\excel-dashboard\dashboard\layout.py:402 | _render_report_page | Error running report Report 4: ContentQualityReport.__init__() missing 1 required positional argument: 'config'
2025-07-16 11:22:14 | DashboardLayout | ERROR | C:\projects Krithi\excel-dashboard\dashboard\layout.py:402 | _render_report_page | Error running report Report 4: ContentQualityReport.__init__() missing 1 required positional argument: 'config'
2025-07-16 11:22:46 | DashboardLayout | ERROR | C:\projects Krithi\excel-dashboard\dashboard\layout.py:402 | _render_report_page | Error running report Report 4: ContentQualityReport.__init__() missing 1 required positional argument: 'config'
2025-07-16 11:48:35 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-16 11:48:35 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-16 11:48:35 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-16 11:48:37 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-16 16:22:32 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-16 16:22:33 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-16 16:22:33 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-16 16:22:34 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-16 17:30:01 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-16 17:30:01 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-16 17:30:01 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-16 17:30:03 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-16 17:30:19 | DashboardLayout | ERROR | C:\projects Krithi\excel-dashboard\dashboard\layout.py:402 | _render_report_page | Error running report Report 3: name 'logging' is not defined
2025-07-16 18:47:07 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-16 18:47:07 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-16 18:47:07 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-16 18:47:10 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 11:16:11 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 11:16:11 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 11:16:11 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 11:16:14 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 11:20:02 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 11:20:02 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 11:20:02 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 11:20:05 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 11:56:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 11:56:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 11:56:41 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 11:56:43 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 12:00:01 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 12:00:01 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 12:00:01 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 12:00:04 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 12:14:17 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 12:14:17 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 12:14:17 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 12:14:20 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 12:24:06 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 12:24:06 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 12:24:06 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 12:24:07 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
2025-07-18 12:30:12 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:377 | _check_data_quality | Found 1746 duplicate records
2025-07-18 12:30:12 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15253 invalid email formats in column 'Mail Sender' (100.00%)
2025-07-18 12:30:12 | ExcelDataLoader | WARNING | C:\projects Krithi\excel-dashboard\data\loader.py:409 | _validate_email_format | Found 15249 invalid email formats in column 'Mail Receiver' (100.00%)
2025-07-18 12:30:14 | DataProcessor | WARNING | C:\projects Krithi\excel-dashboard\data\processor.py:467 | _validate_processed_data | Found 166 records with extreme time deltas (>168 hrs)
